"","sp_name","sp_subtribe","sp_lat","sp_lon"
"280","Calamus_dumetosus","Calaminae",5.17,118.58
"281","Calamus_dumetosus","Calaminae",4.05,114.93
"282","Calamus_dumetosus","Calaminae",1.6,110.18
"283","Calamus_dumetosus","Calaminae",1.4,110.3
"284","Calamus_dumetosus","Calaminae",-0.75,116.633333
"285","Calamus_dumetosus","Calaminae",-1.816666,115.733333
"286","Calamus_dumetosus","Calaminae",-1.816666,115.733333
"287","Calamus_gracilipes","Calaminae",-1.8,115.85
"288","Calamus_gracilipes","Calaminae",-1.8,115.85
"289","Calamus_gracilipes","Calaminae",5.616667,115.883333
"290","Calamus_gracilipes","Calaminae",3.566667,97.783333
"291","Calamus_gracilipes","Calaminae",3.566667,97.783333
"292","Calamus_gracilipes","Calaminae",3.733333,97.5
"293","Calamus_gracilipes","Calaminae",-2.25,106
"294","Calamus_gracilipes","Calaminae",-1.333333,98.916667
"295","Calamus_gracilipes","Calaminae",-0.416667,101.983333
"296","Calamus_hollrungii","Calaminae",-2.95,134.572
"297","Calamus_hollrungii","Calaminae",-2.63,134.498
"298","Calamus_hollrungii","Calaminae",-3.016,141.133
"299","Calamus_hollrungii","Calaminae",-5.866,141.2
"300","Calamus_hollrungii","Calaminae",-2.2,145.75
"301","Calamus_hollrungii","Calaminae",-0.23,130.83
"302","Calamus_hollrungii","Calaminae",-4.804833,141.6525
"303","Calamus_hollrungii","Calaminae",-3.033,141.1
"304","Calamus_hollrungii","Calaminae",-5.73333,150.667
"305","Calamus_hollrungii","Calaminae",-5.73333,150.667
"306","Calamus_hollrungii","Calaminae",-6.56667,146.933
"307","Calamus_hollrungii","Calaminae",-6.56667,146.933
"308","Calamus_hollrungii","Calaminae",-6.56667,146.933
"309","Calamus_hollrungii","Calaminae",-6.56667,146.933
"310","Calamus_hollrungii","Calaminae",-6.433333,142.833333
"311","Calamus_hollrungii","Calaminae",-6.433333,142.833333
"312","Calamus_hollrungii","Calaminae",-5.86386,140.69253
"313","Calamus_hollrungii","Calaminae",-6.709722,147.026111
"314","Calamus_melanochaetes","Calaminae",-6.75,106.54
"315","Calamus_melanochaetes","Calaminae",-8.666667,118
"316","Calamus_melanochaetes","Calaminae",-8.246192,117.99323
"317","Calamus_melanochaetes","Calaminae",-8.246192,117.99323
"318","Calamus_melanochaetes","Calaminae",4.333333,101.333333
"319","Calamus_melanochaetes","Calaminae",4.333333,101.333333
"320","Calamus_melanochaetes","Calaminae",4.333333,101.333333
"321","Calamus_melanochaetes","Calaminae",4.333333,101.333333
"322","Calamus_melanochaetes","Calaminae",4.333333,101.333333
"323","Calamus_melanochaetes","Calaminae",4.333333,101.333333
"324","Calamus_melanochaetes","Calaminae",4.333333,101.333333
"325","Calamus_melanochaetes","Calaminae",4.333333,101.333333
"326","Calamus_melanochaetes","Calaminae",4.333333,101.333333
"327","Calamus_melanochaetes","Calaminae",4.333333,101.333333
"328","Calamus_melanochaetes","Calaminae",4.216667,100.5667
"329","Calamus_melanochaetes","Calaminae",3.5,97.8
"330","Calamus_melanochaetes","Calaminae",3.5,97.8
"331","Calamus_melanochaetes","Calaminae",3.5,97.8
"332","Calamus_melanochaetes","Calaminae",-8.533333,113.783333
"333","Calamus_melanochaetes","Calaminae",5.488333,117.8025
"334","Calamus_melanochaetes","Calaminae",0.616667,115.9
"335","Calamus_melanochaetes","Calaminae",5.488333,117.8025
"336","Calamus_melanochaetes","Calaminae",0.616667,115.9
"337","Calamus_melanochaetes","Calaminae",5.469167,116.271667
"338","Calamus_melanochaetes","Calaminae",5.469167,116.271667
"339","Calamus_melanochaetes","Calaminae",-1.75,116
"340","Calamus_melanochaetes","Calaminae",-1.75,116
"341","Calamus_melanochaetes","Calaminae",5.583333,115.883333
"342","Calamus_melanochaetes","Calaminae",5.583333,115.883333
"343","Calamus_melanochaetes","Calaminae",5.4,115.75
"344","Calamus_melanochaetes","Calaminae",5.4,115.75
"345","Calamus_melanochaetes","Calaminae",1.6,110.183333
"346","Calamus_melanochaetes","Calaminae",1.6,110.183333
"347","Calamus_melanochaetes","Calaminae",3.733333,97.5
"348","Calamus_melanochaetes","Calaminae",3.733333,97.5
"349","Calamus_melanochaetes","Calaminae",3.733333,97.5
"350","Calamus_melanochaetes","Calaminae",-0.6,100.983333
"351","Calamus_melanochaetes","Calaminae",-0.6,100.983333
"352","Calamus_melanochaetes","Calaminae",-0.333333,100.066667
"353","Calamus_melanochaetes","Calaminae",3.833333,98
"354","Calamus_melanochaetes","Calaminae",3.833333,98
"355","Calamus_melanochaetes","Calaminae",3.5,98.2
"356","Calamus_melanochaetes","Calaminae",4.410556,97.670833
"357","Calamus_melanochaetes","Calaminae",4.410556,97.670833
"358","Calamus_melanochaetes","Calaminae",4.410556,97.670833
"359","Calamus_melanochaetes","Calaminae",4.410556,97.670833
"360","Calamus_melanochaetes","Calaminae",4.410556,97.670833
"361","Calamus_melanochaetes","Calaminae",4.410556,97.670833
"362","Calamus_melanochaetes","Calaminae",4.410556,97.670833
"363","Calamus_melanochaetes","Calaminae",3.566667,97.766667
"364","Calamus_melanochaetes","Calaminae",3.566667,97.766667
"365","Calamus_melanochaetes","Calaminae",-1.333333,104.333333
"366","Calamus_melanochaetes","Calaminae",3.566667,97.766667
"367","Calamus_melanochaetes","Calaminae",-3.65,102.566667
"368","Calamus_melanochaetes","Calaminae",-3.65,102.566667
"369","Calamus_melanochaetes","Calaminae",3.316667,98.583333
"370","Calamus_melanochaetes","Calaminae",3.733333,97.5
"371","Calamus_melanochaetes","Calaminae",14.666667,102.333333
"372","Calamus_melanochaetes","Calaminae",-5.433333,104.683333
"373","Calamus_melanochaetes","Calaminae",-5.433333,104.683333
"374","Calamus_melanochaetes","Calaminae",-5.433333,104.683333
"375","Calamus_melanochaetes","Calaminae",-5.433333,104.683333
"376","Calamus_melanochaetes","Calaminae",1.4,110.3
"377","Calamus_melanochaetes","Calaminae",4.25,117.9
"378","Calamus_melanochaetes","Calaminae",3,99.5
"379","Calamus_melanochaetes","Calaminae",3,99.5
"380","Calamus_melanochaetes","Calaminae",2.5,100.133333
"381","Calamus_melanochaetes","Calaminae",2.5,100.133333
"382","Calamus_melanochaetes","Calaminae",2.5,100.133333
"383","Calamus_melanochaetes","Calaminae",4.24465,117.89119
"384","Calamus_melanochaetes","Calaminae",4.25,117.9
"385","Calamus_melanochaetes","Calaminae",-0.308889,104.441389
"386","Calamus_melanochaetes","Calaminae",-7.8,126.3
"387","Calamus_melanochaetes","Calaminae",-4.11633,114.68628
"388","Calamus_melanochaetes","Calaminae",-7.97778,112.62806
"389","Calamus_melanochaetes","Calaminae",-5.72,134.2
"390","Calamus_melanochaetes","Calaminae",-5.72,134.2
"391","Calamus_melanochaetes","Calaminae",-5.72,134.2
"392","Calamus_melanochaetes","Calaminae",-6.5991,106.8019
"393","Calamus_nanodendron","Calaminae",1.4,110.3
"394","Calamus_nanodendron","Calaminae",1.03,110.9
"395","Calamus_nanodendron","Calaminae",1.4,110.3
"396","Calamus_nanodendron","Calaminae",1.4,110.3
"397","Calamus_nanodendron","Calaminae",1.03,110.9
"398","Calamus_nanodendron","Calaminae",4.68,114.48
"399","Calamus_thysanolepis","Calaminae",26.72,117.47
"400","Calamus_thysanolepis","Calaminae",26.72,117.47
"401","Calamus_thysanolepis","Calaminae",24.7,117.31
"402","Calamus_thysanolepis","Calaminae",27.33,118.12
"403","Calamus_thysanolepis","Calaminae",27.33,118.12
"404","Calamus_thysanolepis","Calaminae",27.64,120.37
